path_location,Kernel,BIC
"(4, 19)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Per_Arb',-2283.7236328125
"(0, 20)",'RBF*Per_Year',1492.51171875
"(1, 20)",'RBF+AR2*Per_Year',-2337.717529296875
"(2, 20)",'RBF+AR2*Per_Year*Per_Year',-2263.212646484375
"(3, 20)",'RBF+AR2*Per_Year*RBF*Per_Year',-1614.485595703125
"(4, 20)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Per_Year',-2128.94140625
"(0, 21)",'RBF*Per_Season',
"(1, 21)",'RBF+AR2*Per_Season',-940.4722900390624
"(2, 21)",'RBF+AR2*Per_Year*Per_Season',-2158.3984375
"(3, 21)",'RBF+AR2*Per_Year*RBF*Per_Season',-2122.43603515625
"(4, 21)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Per_Season',-2228.0634765625
"(0, 22)",'RBF*Per_Month',1889.4150390625
"(1, 22)",'RBF+AR2*Per_Month',290.2250061035156
"(2, 22)",'RBF+AR2*Per_Year*Per_Month',-2197.544921875
"(3, 22)",'RBF+AR2*Per_Year*RBF*Per_Month',-1335.378173828125
"(4, 22)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Per_Month',-2038.7645263671875
